Easting,Northing,Longitude,Latitude
500281.9,6407067.3,117.003,-32.4736
500272.52,6407721.4,117.0029,-32.4677
499680.49,6407721.4,116.9966,-32.4677
499661.72,6407067.3,116.9964,-32.4736
497716.61,6407067.1,116.9757,-32.4736
497425.35,6406945.1,116.9726,-32.4747
497115.48,6406191.2,116.9693,-32.4815
495368.72,6404317.2,116.9507,-32.4984
495059.01,6403707.3,116.9474,-32.5039
495557.07,6403253.1,116.9527,-32.508
498215.31,6403265,116.981,-32.5079
498215.35,6403065.5,116.981,-32.5097
499577.32,6403065.6,116.9955,-32.5097
499577.21,6405692.8,116.9955,-32.486
500573.12,6405692.8,117.0061,-32.486
500573.2,6407056.3,117.0061,-32.4737
500281.9,6407056.3,117.003,-32.4737
